A;B;C;D;E;F;G;H;I
Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Reference;Impact on price;Quantity;Minimal quantity;Default (0 = No, 1 = Yes);IMPACT on price (NETOS)
200313;acabado:Color:0;NEGRO:0;00026000000777;0;0;1;0;0
200313;acabado:Color:0;GRIS:0;00026000000785;0;0;1;1;0
200297;acabado:Color:0;BLANCO:0;00026000000782;0;0;1;0;0
200297;acabado:Color:0;ARENA:0;00026000000783;0;0;1;0;0
200297;acabado:Color:0;ROJO:0;00026000000769;0;0;1;1;0
200297;acabado:Color:0;NEGRO:0;00026000000781;0;0;1;0;0
200297;acabado:Color:0;GRIS:0;00026000000779;0;0;1;0;0
200325;acabado:Color:0;BLANCO:0;00026000000793;0;0;1;0;0
200325;acabado:Color:0;ARENA:0;00026000000797;0;0;1;1;0
200325;acabado:Color:0;ROJO:0;00026000000791;0;0;1;0;0
200325;acabado:Color:0;NEGRO:0;00026000000795;0;0;1;0;0
200325;acabado:Color:0;GRIS:0;00026000000790;0;0;1;0;0
200326;acabado:Color:0;BLANCO:0;00026000000796;0;0;1;0;0
200326;acabado:Color:0;ARENA:0;00026000000798;0;0;1;1;0
200326;acabado:Color:0;ROJO:0;00026000000799;0;0;1;0;0
200326;acabado:Color:0;NEGRO:0;00026000000792;0;0;1;0;0
200326;acabado:Color:0;GRIS:0;00026000000794;0;0;1;0;0
200296;acabado:Color:0;BLANCO:0;00026000000787;0;0;1;0;0
200296;acabado:Color:0;ARENA:0;00026000000774;0;0;1;0;0
200296;acabado:Color:0;ROJO:0;00026000000788;0;0;1;0;0
200296;acabado:Color:0;NEGRO:0;00026000000768;0;0;1;1;0
200296;acabado:Color:0;GRIS:0;00026000000772;0;0;1;0;0
200203;acabado:Color:0;ROJO:0;00026000000671;0;0;1;0;0
200203;acabado:Color:0;LIMA:0;00026000000675;0;0;1;1;0
200203;acabado:Color:0;NEGRO:0;00026000000677;0;0;1;0;0
200203;acabado:Color:0;AZUL:0;00026000000666;0;0;1;0;0
200203;acabado:Color:0;BLANCO:0;00026000000679;0;0;1;0;0
200203;acabado:Color:0;ARENA:0;00026000000682;0;0;1;0;0
200107;acabado:Color:0;BLANCO:0;00026000000574;0;0;1;0;0
200107;acabado:Color:0;ARENA:0;00026000000581;0;0;1;0;0
200107;acabado:Color:0;NARANJA:0;00026000000575;0;0;1;0;0
200107;acabado:Color:0;ROJO:0;00026000000578;0;0;1;0;0
200107;acabado:Color:0;VERDE:0;00026000000577;0;0;1;0;0
200107;acabado:Color:0;AZUL:0;00026000000579;0;0;1;1;0
200107;acabado:Color:0;NEGRO:0;00026000000576;0;0;1;0;0
200107;acabado:Color:0;GRIS:0;00026000000580;0;0;1;0;0
200312;acabado:Color:0;BLANCO:0;00026000000776;0;0;1;0;0
200312;acabado:Color:0;ARENA:0;00026000000771;0;0;1;0;0
200312;acabado:Color:0;ROJO:0;00026000000775;0;0;1;0;0
200312;acabado:Color:0;NEGRO:0;00026000000778;0;0;1;0;0
200312;acabado:Color:0;GRIS:0;00026000000784;0;0;1;1;0
200059;;;00026000000531;0;0;1;1;0
200058;;;00026000000530;0;0;1;1;0
200056;;;00026000000528;0;0;1;1;0
200057;;;00026000000529;0;0;1;1;0
179769;color:Color:0;NEGRA:0;00026100000079;0;0;1;1;0
179769;color:Color:0;GRIS:0;00026100000080;0;0;1;0;0
179769;color:Color:0;AZUL :0;00026100000081;0;0;1;0;0
179769;color:Color:0;ROJO:0;00026100000082;0;0;1;0;0
179773;;;00026100000083;0;0;1;1;0
179774;;;00026100000084;0;0;1;1;0
179777;;;00026100000087;0;0;1;1;0
200173;;;00026000000645;0;0;1;1;0
187384;;;00026100000102;0;0;1;1;0
187385;color:Color:0;NEGRO:0;00026100000109;0;0;1;1;0
187385;color:Color:0;GRIS:0;00026100000110;0;0;1;0;0
187385;color:Color:0;AZUL:0;00026100000111;0;0;1;0;0
194593;tapizado:Color:0;GRIS:0;00026000000506;0;0;1;1;0
194593;tapizado:Color:0;AZUL:0;00026000000508;0;0;1;0;0
194593;tapizado:Color:0;ROJO:0;00026000000509;0;0;1;0;0
194593;tapizado:Color:0;VERDE:0;00026000000511;0;0;1;0;0
194593;tapizado:Color:0;MOSTAZA:0;00026000000510;0;0;1;0;0
194593;tapizado:Color:0;NEGRO:0;00026000000507;0;0;1;0;0
194608;tapizado_sofa:Color:0;ECOPIEL NEGRA:0;00026000000518;0;0;1;1;0
194608;tapizado_sofa:Color:0;ECOPIEL BLANCA:0;00026000000519;0;0;1;0;0
194608;tapizado_sofa:Color:0;ECOPIEL GRIS:0;00026000000520;0;0;1;0;0
196703;acabado:Color:0;RED NEGRA:0;00026001000051;0;0;1;1;0
196703;acabado:Color:0;RED GRIS:0;00026001000052;0;0;1;0;0
196703;acabado:Color:0;RED AZUL:0;00026001000053;0;0;1;0;0
196706;acabado:Color:0;NEGRA/ROJA:0;00026001000054;0;0;1;1;0
196706;acabado:Color:0;NEGRA/GRIS:0;00026001000055;0;0;1;0;0
196706;acabado:Color:0;NEGRA/AZUL:0;00026001000056;0;0;1;0;0
196709;;;00026001000057;0;0;1;1;0
196634;acabado:Color:0;GRIS/AZUL:0;00026000000521;0;0;1;1;0
196634;acabado:Color:0;ROJO/BLANCO:0;00026000000522;0;0;1;0;0
196638;acabado:Color:0;GRIS CLARO:0;00026000000523;0;0;1;0;0
196638;acabado:Color:0;AMARILLO:0;00026001000022;0;0;1;1;0
196638;acabado:Color:0;AZUL CLARO:0;00026001000023;0;0;1;0;0
196651;acabado:Color:0;BLANCA:0;00026001000027;0;0;1;1;0
196651;acabado:Color:0;NEGRA:0;00026001000028;0;0;1;0;0
196651;acabado:Color:0;GRIS:0;00026001000029;0;0;1;0;0
196651;acabado:Color:0;ROSA:0;00026001000030;0;0;1;0;0
196651;acabado:Color:0;TAPIZADO ANTRACITA:0;00026001000031;0;0;1;0;0
196656;acabado:Color:0;BLANCA:0;00026001000032;0;0;1;1;0
196656;acabado:Color:0;NEGRA:0;00026001000033;0;0;1;0;0
196656;acabado:Color:0;GRIS:0;00026001000034;0;0;1;0;0
196656;acabado:Color:0;TAPIZADO ANTRACITA:0;00026001000035;0;0;1;0;0
196660;acabado:Color:0;BLANCA:0;00026001000036;0;0;1;1;0
196660;acabado:Color:0;NEGRA:0;00026001000037;0;0;1;0;0
196660;acabado:Color:0;GRIS:0;00026001000038;0;0;1;0;0
196663;acabado:Color:0;BLANCA:0;00026001000039;0;0;1;1;0
196663;acabado:Color:0;NEGRA:0;00026001000040;0;0;1;0;0
196663;acabado:Color:0;GRIS:0;00026001000041;0;0;1;0;0
196666;acabado:Color:0;GRIS/AZUL:0;00026001000042;0;0;1;1;0
196666;acabado:Color:0;ROJO/BLANCO:0;00026001000043;0;0;1;0;0
196668;;;00026001000044;0;0;1;1;0
154542;acabado:Color:0;GRIS CLARO:0;00009001000009;0;0;1;1;0
154542;acabado:Color:0;MARRON:0;00009001000010;0;0;1;0;0
154542;acabado:Color:0;GRIS PLOMO:0;00009001000011;0;0;1;0;0
122690;acabado:Color:0;BLANCO:0;00026000000012;0;0;1;1;0
122690;acabado:Color:0;NEGRO:0;00026000000011;0;0;1;0;0
122690;acabado:Color:0;GRIS:0;00026000000013;0;0;1;0;0
122725;acabado:Color:0;BLANCO:0;00026000000032;0;0;1;0;0
122725;acabado:Color:0;NEGRO:0;00026000000041;0;0;1;1;0
122725;acabado:Color:0;GRIS:0;00026000000072;0;0;1;0;0
65593;acabado:Color:0;NEGRO:0;00008007000000;0;0;1;1;0
65593;acabado:Color:0;BLANCO:0;00008007010001;0;0;1;0;0
65593;acabado:Color:0;CHOCOLATE:0;00008007080000;0;0;1;0;0
154881;acabado:Color:0;NEGRO:0;00008001000033;0;0;1;1;0
154881;acabado:Color:0;BLANCO:0;00008001000034;0;0;1;0;0
129154;acabado:Color:0;GRIS PLOMO:0;00008001000014;0;0;1;1;0
129154;acabado:Color:0;CHOCOLATE:0;00008001000015;0;0;1;0;0
4164;acabado:Color:0;LACADO BLANCO:0;00008001010000;0;0;1;1;0
4164;acabado:Color:0;MADERA:0;00008001000013;0;0;1;0;0
69237;acabado:Color:0;BLANCO:0;00089001000000;0;0;1;0;0
69237;acabado:Color:0;NEGRO:0;00089001000001;0;0;1;0;0
69237;acabado:Color:0;CHOCOLATE:0;00089001000002;0;0;1;0;0
69237;acabado:Color:0;GRIS PERLA:0;00089001000003;0;0;1;0;0
69237;acabado:Color:0;BEIGE:0;00089001000004;0;0;1;0;0
69237;acabado:Color:0;ANTRACITA:0;00089001000005;0;0;1;1;0
69241;acabado:Color:0;BLANCO:0;00089002000000;0;0;1;0;0
69241;acabado:Color:0;NEGRO:0;00089002000001;0;0;1;0;0
69241;acabado:Color:0;CHOCOLATE:0;00089002000002;0;0;1;0;0
69241;acabado:Color:0;GRIS PERLA:0;00089002000003;0;0;1;1;0
69241;acabado:Color:0;BEIGE:0;00089002000004;0;0;1;0;0
69241;acabado:Color:0;ANTRACITA:0;00089002000005;0;0;1;0;0
97692;acabado:Color:0;FRESNO BLANCO:0;00066001000006;0;0;1;0;0
97692;acabado:Color:0;PINO CLARO:0;00066001000007;0;0;1;0;0
97692;acabado:Color:0;ROBLE GRIS:0;00066006010001;0;0;1;0;0
186789;acabado:Color:0;BLANCO:0;00026700000000;0;0;1;0;0
186789;acabado:Color:0;NEGRO:0;00026700000001;0;0;1;0;0
186789;acabado:Color:0;GRIS:0;00026700000002;0;0;1;0;0
4149;acabado:Color:0;BLANCO:0;00006008050000;0;0;1;0;0
4149;acabado:Color:0;NEGRO:0;00006008060000;0;0;1;0;0
4149;acabado:Color:0;ROJO:0;00006008070000;0;0;1;0;0
4153;acabado:Color:0;BLANCO:0;00006009050000;0;0;1;0;0
