,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
1594,Talla:select:0,L:0,0,500,1
1594,Talla:select:0,XL:0,0,500,1
1594,Talla:select:0,XXL:0,0,500,1
1595,Talla:select:0,XS:0,0,500,1
1595,Talla:select:0,S:0,0,500,1
1595,Talla:select:0,M:0,1,500,1
1595,Talla:select:0,L:0,0,500,1
1595,Talla:select:0,XL:0,0,500,1
1595,Talla:select:0,XXL:0,0,500,1
1596,Talla:select:0,XS:0,0,500,1
1596,Talla:select:0,S:0,0,500,1
1596,Talla:select:0,M:0,1,500,1
1596,Talla:select:0,L:0,0,500,1
1596,Talla:select:0,XL:0,0,500,1
1596,Talla:select:0,XXL:0,0,500,1
1597,Talla:select:0,XS:0,0,500,1
1597,Talla:select:0,S:0,0,500,1
1597,Talla:select:0,M:0,1,500,1
1597,Talla:select:0,L:0,0,500,1
1597,Talla:select:0,XL:0,0,500,1
1597,Talla:select:0,XXL:0,0,500,1
1598,Talla:select:0,XS:0,0,500,1
1598,Talla:select:0,S:0,0,500,1
1598,Talla:select:0,M:0,1,500,1
1598,Talla:select:0,L:0,0,500,1
1598,Talla:select:0,XL:0,0,500,1
1598,Talla:select:0,XXL:0,0,500,1
1599,Talla:select:0,XS:0,0,500,1
1599,Talla:select:0,S:0,0,500,1
1599,Talla:select:0,M:0,1,500,1
1599,Talla:select:0,L:0,0,500,1
1599,Talla:select:0,XL:0,0,500,1
1599,Talla:select:0,XXL:0,0,500,1
1600,Talla:select:0,XS:0,0,500,1
1600,Talla:select:0,S:0,0,500,1
1600,Talla:select:0,M:0,1,500,1
1600,Talla:select:0,L:0,0,500,1
1600,Talla:select:0,XL:0,0,500,1
1600,Talla:select:0,XXL:0,0,500,1
1601,Talla:select:0,XS:0,0,500,1
1601,Talla:select:0,S:0,0,500,1
1601,Talla:select:0,M:0,1,500,1
1601,Talla:select:0,L:0,0,500,1
1601,Talla:select:0,XL:0,0,500,1
1601,Talla:select:0,XXL:0,0,500,1
1602,Talla:select:0,XS:0,0,500,1
1602,Talla:select:0,S:0,0,500,1
1602,Talla:select:0,M:0,1,500,1
1602,Talla:select:0,L:0,0,500,1
1602,Talla:select:0,XL:0,0,500,1
1602,Talla:select:0,XXL:0,0,500,1
1603,Talla:select:0,XS:0,0,500,1
1603,Talla:select:0,S:0,0,500,1
1603,Talla:select:0,M:0,1,500,1
1603,Talla:select:0,L:0,0,500,1
1603,Talla:select:0,XL:0,0,500,1
