Product ID*;"Attribute (Name:Type:Position)*	Value (Value:Position)*";Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
191510;Color:color:0;Negro:0;00009000000007;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4505.jpg;1;;;;
191510;Color:color:0;Blanco:0;00009000000008;;;;;;;;;0;;4;http://phpandfriends.com/imagenes_promosillas/4508.jpg;1;;;;
191510;Color:color:0;Marron:0;00009017000002;;;;;;;;;0;;8;http://phpandfriends.com/imagenes_promosillas/4512.jpg;1;;;;
191513;Color:color:0;Blanco:0;00009000000009;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4644.jpg;1;;;;
191513;Color:color:0;Gris:0;00009000000010;;;;;;;;;0;;4;http://phpandfriends.com/imagenes_promosillas/4647.jpg;1;;;;
191516;Color:color:0;Gris:0;00009000000011;;;;;;;;;1;;10;http://phpandfriends.com/imagenes_promosillas/4613.jpg;1;;;;
191516;Color:color:0;Marron:0;00009000000012;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4608.jpg;1;;;;
191516;Color:color:0;Gris:0;00009000000013;;;;;;;;;0;;1;http://phpandfriends.com/imagenes_promosillas/4604.jpg;1;;;;
191517;Color:color:0;Gris:0;00009000000014;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/4424.jpg;1;;;;
191517;Color:color:0;Marron:0;00009000000015;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/4428.jpg;1;;;;
193584;Color:color:0;Negro:0;00026001000018;;;;;;;;;1;;2;http://phpandfriends.com/imagenes_promosillas/25479.jpg;1;;;;
193584;Color:color:0;Blanco:0;00026001000019;;;;;;;;;0;;10;http://phpandfriends.com/imagenes_promosillas/25477.jpg;1;;;;
194599;Color:color:0;Negro:0;00026000000512;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3393.jpg;1;;;;
194599;Color:color:0;Blanco:0;00026000000515;;;;;;;;;0;;4;http://phpandfriends.com/imagenes_promosillas/3396.jpg;1;;;;
194600;Color:color:0;Negro:0;00026000000513;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3399.jpg;1;;;;
194600;Color:color:0;Blanco:0;00026000000516;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3403.jpg;1;;;;
194601;Color:color:0;Negro:0;00026000000514;;;;;;;;;1;;1;http://phpandfriends.com/imagenes_promosillas/3545.jpg;1;;;;
194601;Color:color:0;Blanco:0;00026000000517;;;;;;;;;0;;5;http://phpandfriends.com/imagenes_promosillas/3549.jpg;1;;;;
189242;Color:color:0;Gris:0;00089002000007;;;;;;;;;1;;6;http://phpandfriends.com/imagenes_promosillas/3917.jpg;1;;;;
189242;Color:color:0;Beige:0;00089002000010;;;;;;;;;0;;9;http://phpandfriends.com/imagenes_promosillas/3920.jpg;1;;;;
189242;Color:color:0;Blanco:0;00089002000006;;;;;;;;;0;;3;http://phpandfriends.com/imagenes_promosillas/3913.jpg;1;;;;
189243;Color:color:0;:0;00089002000009;;;;;;;;;1;;4;http://phpandfriends.com/imagenes_promosillas/3987.jpg;1;;;;
